"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-05",100.6582,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-06",100.2592,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-07",99.71166,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-08",99.00082,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-09",98.14126,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-10",97.19701,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-11",96.29475,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2008-12",95.53822,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-01",94.99268,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-02",94.69584,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-03",94.66498,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-04",94.88721,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-05",95.28821,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-06",95.79684,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-07",96.35055,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-08",96.90929,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-09",97.44329,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-10",97.9364,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-11",98.38863,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2009-12",98.80433,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-01",99.16388,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-02",99.43394,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-03",99.6159,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-04",99.69128,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-05",99.67028,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-06",99.59365,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-07",99.52773,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-08",99.52431,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-09",99.59496,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-10",99.72469,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-11",99.906,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2010-12",100.0986,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-01",100.2598,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-02",100.3531,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-03",100.3421,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-04",100.2256,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-05",100.0176,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-06",99.73845,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-07",99.43954,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-08",99.18961,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-09",99.05982,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-10",99.08298,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-11",99.23521,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2011-12",99.46138,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-01",99.68711,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-02",99.84805,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-03",99.91734,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-04",99.89857,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-05",99.81327,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-06",99.70155,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-07",99.61653,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-08",99.5836,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-09",99.61578,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-10",99.68896,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-11",99.78637,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2012-12",99.91251,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-01",100.0588,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-02",100.2073,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-03",100.3347,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-04",100.4549,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-05",100.5738,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-06",100.6683,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-07",100.7245,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-08",100.7537,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-09",100.7647,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-10",100.7665,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-11",100.7678,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2013-12",100.7589,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-01",100.7445,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-02",100.7576,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-03",100.8015,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-04",100.8587,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-05",100.9132,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-06",100.9598,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-07",100.9893,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-08",101.0042,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-09",101.0033,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-10",100.9752,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-11",100.9238,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2014-12",100.8451,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-01",100.7455,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-02",100.6371,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-03",100.5294,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-04",100.4254,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-05",100.3156,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-06",100.1945,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-07",100.0329,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-08",99.84364,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-09",99.65855,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-10",99.50788,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-11",99.3832,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2015-12",99.27185,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-01",99.17865,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-02",99.11655,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-03",99.09569,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-04",99.10058,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-05",99.11667,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-06",99.13175,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-07",99.15694,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-08",99.20707,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-09",99.29433,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-10",99.41796,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-11",99.55742,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2016-12",99.69236,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-01",99.79878,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-02",99.86906,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-03",99.90939,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-04",99.93367,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-05",99.96219,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-06",100.0035,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-07",100.0545,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-08",100.1328,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-09",100.2309,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-10",100.3356,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-11",100.4323,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2017-12",100.5223,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-01",100.6176,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-02",100.7134,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-03",100.7801,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-04",100.807,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-05",100.8016,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-06",100.7702,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-07",100.7148,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-08",100.633,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-09",100.5047,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-10",100.3311,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-11",100.1378,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2018-12",99.95415,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-01",99.80085,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-02",99.68435,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-03",99.59672,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-04",99.50861,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-05",99.41288,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-06",99.3142,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-07",99.21872,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-08",99.13801,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-09",99.1011,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-10",99.09805,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-11",99.10062,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2019-12",99.08285,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-01",99.01617,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-02",98.88946,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-03",97.05176,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-04",92.23092,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-05",93.77561,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-06",95.71313,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-07",97.2706,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-08",97.93082,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-09",98.19913,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-10",98.53953,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-11",98.91795,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2020-12",99.31595,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-01",99.66631,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-02",100.0159,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-03",100.3094,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-04",100.5365,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-05",100.5609,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-06",100.5146,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-07",100.4166,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-08",100.2987,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-09",100.1972,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-10",100.1204,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-11",100.07,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2021-12",100.0382,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-01",100.0239,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-02",100.0371,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-03",100.0779,
"USA","CLI","AMPLITUD","LTRENDIDX","M","2022-04",100.1464,
